Using device: cuda
Training: exp1_baseline
Epoch   0 | Loss: 2.4954 | Time: 11.5s
Epoch   1 | Loss: 2.0263 | Time: 10.2s
Epoch   2 | Loss: 1.8599 | Time: 10.3s
Epoch   3 | Loss: 1.7855 | Time: 10.1s
Epoch   4 | Loss: 1.6784 | Time: 10.2s
Epoch   5 | Loss: 1.6464 | Time: 10.4s
Epoch   6 | Loss: 1.5599 | Time: 10.2s
Epoch   7 | Loss: 1.4405 | Time: 10.2s
Epoch   8 | Loss: 1.4252 | Time: 10.4s
Epoch   9 | Loss: 1.2799 | Time: 10.2s
Epoch  10 | Loss: 1.2183 | Time: 10.7s
Epoch  11 | Loss: 1.0906 | Time: 9.6s
Epoch  12 | Loss: 0.9797 | Time: 10.5s
Epoch  13 | Loss: 0.8934 | Time: 10.6s
Epoch  14 | Loss: 0.8909 | Time: 10.8s
Epoch  15 | Loss: 0.8510 | Time: 10.8s
Epoch  16 | Loss: 0.8739 | Time: 11.0s
Epoch  17 | Loss: 0.8765 | Time: 10.9s
Epoch  18 | Loss: 0.8688 | Time: 11.3s
Epoch  19 | Loss: 0.8637 | Time: 11.7s
Training complete: exp1_baseline
