Using device: cuda
Training: exp3_nocross
Epoch   0 | Loss: 2.5258 | Time: 11.2s
Epoch   1 | Loss: 1.8319 | Time: 10.3s
Epoch   2 | Loss: 1.6627 | Time: 10.2s
Epoch   3 | Loss: 1.6152 | Time: 10.2s
Epoch   4 | Loss: 1.5022 | Time: 10.2s
Epoch   5 | Loss: 1.4201 | Time: 10.3s
Epoch   6 | Loss: 1.3199 | Time: 10.1s
Epoch   7 | Loss: 1.3238 | Time: 10.3s
Epoch   8 | Loss: 1.2812 | Time: 10.4s
Epoch   9 | Loss: 1.1521 | Time: 10.3s
Epoch  10 | Loss: 1.0777 | Time: 10.5s
Epoch  11 | Loss: 1.0061 | Time: 9.6s
Epoch  12 | Loss: 0.9939 | Time: 10.5s
Epoch  13 | Loss: 0.9243 | Time: 10.6s
Epoch  14 | Loss: 0.8504 | Time: 10.8s
Epoch  15 | Loss: 0.8272 | Time: 10.7s
Epoch  16 | Loss: 0.7961 | Time: 10.9s
Epoch  17 | Loss: 0.8125 | Time: 10.8s
Epoch  18 | Loss: 0.8094 | Time: 11.3s
Epoch  19 | Loss: 0.7635 | Time: 11.9s
Training complete: exp3_nocross
